Source Story ID,Epic,Capability,Variant,Priority,Original Release,Original Backlog Item,Original Acceptance Summary,Source Iteration,Current Classification,Mapped Current Stories,Migration Evidence,Implementation Commit Evidence,PR / Merge Evidence,Current Implemented Evidence,Remaining Original Scope,Recommended Next Action,Evidence Confidence,Repository Baseline
E01-01,E01,Foundation,CORE,Must,R1,"Configure legal entities, PSUs, establishments and registrations",Effective-dated hierarchy; no overlapping active ownership; audit and approval complete.,Iteration 1,PARTIALLY IMPLEMENTED,"S1-00, S1-01, S1-02, S1-03, S1-04, S1-05, S1-06",V014-V016 (plus foundational V001-V013),b9f6bcf888c4d22c04a237f0a13c37d4d4d24c36; 47654eb11c69838924da172479a4c4d72a5c2729; da5dad33d7d228e1e7ee1467fb198ec21d0934ca,PR #2; merge 27947e1202ff018c3494a32584487ff3879876ab,"Tenant context and RLS; legal entities, payroll statutory units and establishments; effective-dated identity/version hierarchy; lifecycle APIs/UI; audit, idempotency and outbox foundations.","Enterprise group, work locations and jurisdiction resolution, generic statutory-registration framework and metadata, and the complete original foundation control scope are not evidenced.",Complete remaining Iteration 1 foundation before treating E01 as closed.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E02-01,E02,Calendar & Pay Groups,CORE,Must,R1,"Create payroll calendars, pay periods and pay groups","Calendar generates periods, deadlines and population rules consistently.",Iteration 1,PARTIALLY IMPLEMENTED,"S2-01, S2-02; population execution contributes through S3-01",V017-V018,Inherited Sprint 2 range through 24f2ed4893a90627eb6be69aa3747eba4343e195,PR #3; merge 84530e1fe975dbe5f2a45feb3ceabd44d8b4fbb9,"Stable pay-group identities and versions, monthly calendars, contiguous period generation, INR assignment, starter proration policy and later population resolution.","The original design's complete calendar frequencies, deadlines, cut-off controls and broader population-routing rules are not evidenced.",Reconcile the full Iteration 1 calendar/pay-group rule set before expansion.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E03-01,E03,Component Catalogue,CORE,Must,R1,Create versioned pay components and named bases,Component versions are immutable after approval and traceable to formulas and bases.,Iteration 2,PARTIALLY IMPLEMENTED,S2-03,V019,Inherited Sprint 2 range through 24f2ed4893a90627eb6be69aa3747eba4343e195,PR #3; merge 84530e1fe975dbe5f2a45feb3ceabd44d8b4fbb9,"Versioned BASIC, HRA and SPECIAL_ALLOWANCE components with approval lifecycle and fixed-component calculation use.","Named bases and the broader catalogue of earnings, deductions, employer contributions, provisions, reimbursements, benefits, perquisites, notional and accrual components are not implemented.",Design a general component/base model without breaking the starter slice.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E04-01,E04,Salary Structures,CORE,Must,R1,"Build salary structures, CTC policies and simulations","Structures reconcile to target CTC and pass formula, minimum-wage and statutory tests.",Iteration 2,PARTIALLY IMPLEMENTED,S2-04,V020,Inherited Sprint 2 entry head 24f2ed4893a90627eb6be69aa3747eba4343e195,PR #3; merge 84530e1fe975dbe5f2a45feb3ceabd44d8b4fbb9,"Stable salary-structure identity/version model, immutable component lines and starter BASIC-HRA-SPECIAL dependency validation.","CTC policies, eligibility, simulations, minimum-wage/statutory validation, benefits/perquisites and the general structure-design model are not evidenced.",Complete the original compensation-design scope before broad payroll adoption.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E05-01,E05,Employee Payroll Profile,CORE,Must,R1,"Create payroll relationships, assignments and readiness","One valid regular pay group; salary, bank, statutory and tax readiness visible.",Iteration 3,PARTIALLY IMPLEMENTED,"S2-05, S2-06; generic statutory profile contribution from S4-02",V021-V022; V028 for generic statutory profiles,adf3769b945d56828aa984e634e6e1bbb62582d7; 1575cbc373bf4dc22ff116b1ea4bbfb7e5a19288; 63c9b1a719765fce3868eb7fc69fac37bc196dc9; 12536c3f629cf567022f3fd50998397d1d0b5911; e98f70b0346a13e463f8e768ab4014be0e30ca0f,PR #3; merge 84530e1fe975dbe5f2a45feb3ceabd44d8b4fbb9,"Payroll relationships, assignments, employee payroll profiles, pay-group and salary assignments, readiness lifecycle and tenant-safe lineage.","Bank profile, employee identifiers, India-specific statutory memberships, tax profile/declarations, full multidimensional readiness, multi-assignment and compensation-change workflows are not complete.",Complete payroll onboarding data and readiness dimensions.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E06-01,E06,Calculation Engine,CORE,Must,R2,Compile and execute deterministic calculation plans,Identical snapshots produce identical hashes; trace explains every amount.,Iteration 4,PARTIALLY IMPLEMENTED,"S3-03, S3-04, S3-05",V025-V026,c9ada6bad94071d70a6d10fbcfec085d476a6279; f7eb7fa1fc152b8da4088b881f03bff18558d140; db644298ab3197a6931cd9c6b8d9875ef30d28c5,PR #18; merge 73c356662b1888194a72c7006a66bd91443550ca,"Deterministic fixed-component starter calculation, immutable input and configuration lineage, calendar-day proration, persisted results, component trace and controlled recalculation.","The general formula engine, named bases, full dependency compiler, rounding/cap/gross-up policies, additional run types, simulations, parallel calculation and full failure-isolation model are not complete.",Evolve the starter calculator into the approved general calculation engine.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E07-01,E07,Balances & Retro,CORE,Must,R2,Maintain balances and retroactive differences,Append-only movements; chronological retro; no historical result overwrite.,Iterations 4 and 7,PARTIALLY IMPLEMENTED,S3-05 and controlled recalculation increment; S4-04 for statutory balances,V026 and V030,db644298ab3197a6931cd9c6b8d9875ef30d28c5; 34a3af93433eb61b801db36c8ff84fe1ccfad874,PR #18 and PR #19,"Controlled recalculation/supersession patterns, signed statutory corrections and statutory cycle/PTD/YTD balance evidence.","General payroll balances, append-only balance movements, chronological retroactive difference calculation, arrears, carry-forwards and retro settlement across payroll periods are not implemented.",Design the complete payroll balance and retro engine as a separate epic increment.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E08-01,E08,Payroll Operations,CORE,Must,R2,"Operate input windows, population freeze, trials and approvals",Critical sources certified; sealed input snapshot; reconciliations pass before lock.,Iteration 5,PARTIALLY IMPLEMENTED,"S3-01, S3-02, S3-07",V023-V024,5bc08e440c21bbeeddc3c1bb4e28ad04943ac9cd; 64b4ca7b2a7a53c373b56d5f6767192a000dd60f; 625e38dc1fed649eb37ec6c1d1171f142430403a; 134fe3e63e6b04f2da08df957f4d415a1fd97606; 7fee492bd8899269fe588c9d3ab8202029a8b0b5,PR #18; merge 73c356662b1888194a72c7006a66bd91443550ca,"Controlled regular payroll cycle, population resolution, immutable input snapshots, calculation/recalculation operations, API and operator workspace.","Input-source catalogue, delivery windows, cut-offs, source-owner certification, trial payroll replacement, full approval/lock/release workflow, checklists, resumable partitions and operational reconciliations are incomplete.",Complete the original controlled operating model before production use.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E09-01,E09,India Statutory Rules,CORE,Must,R2,"Configure wage, PF, ESI, PT, LWF, NPS, gratuity, bonus and TDS rules",All results reference approved effective-dated rule and legal source.,Iteration 6,REQUIRES LEGAL OR DOMAIN REVALIDATION,"S4-01B, S4-02, S4-03, S4-04, S4-05A, S4-05B provide only a jurisdiction-neutral foundation",V027-V030 (generic foundation only),7a98bef0e239972b8200b363138e5b35007948da; 218c099fcbfa4218f4a949673de7268c243e37ed; 49e72119a3daa567ae989af3b237da383cdbaebb; 34a3af93433eb61b801db36c8ff84fe1ccfad874; 206881e088b8a2d4226cee5db9ca079fcb975e7a; 6cf39fc1734a50a514cfee22db2fd78bd41b80cc,PR #19; merge def3dd2e212f85c440eee5497e292be2f1f2bf64,"Jurisdiction-neutral effective-dated rule, profile, assignment, evaluation, ledger, correction, balance and reconciliation foundation.","PF, EPS, EDLI, ESI, PT, LWF, NPS, gratuity, bonus, salary TDS, minimum wage, overtime, deduction limits, legal forms, filing and settlement are explicitly not implemented.",Revalidate Iteration 6 against current authoritative Indian law and notifications before approving detailed stories or calculations.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E10-01,E10,Off-cycle & Final Settlement,CORE,Must,R3,"Process corrections, off-cycle runs, recoveries and settlement",Original results retained; separate legal deadline clocks; complete audit lineage.,Iteration 7,NOT STARTED,None; only reusable correction/recalculation patterns exist,None,None,None,No off-cycle or final-settlement business capability is evidenced.,"Retro corrections, off-cycle runs, reversals, recoveries, advances, negative-net handling, final settlement, legal deadlines and settlement documents.",Create approved design slices after E06-E09 dependencies are stable.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
