Artifact,Type,Authority,Purpose,Metrics,Size Bytes,SHA-256,Validation
Iterations/Payroll_System_Iteration_10_Payslips_ESS_Documents_Reporting_Communications.docx,DOCX,Detailed Iteration 10 design source,"Payslips, ESS, documents, reporting and communications",1006 non-empty paragraphs; 120 headings; 23 tables,72501,c72a0ba6f26962a2d285d87308d836a140f627e4992b0e0807d38f4bbf5d33ae,OPENED / PARSED
Iterations/Payroll_System_Iteration_11_Audit_Controls_Compliance_Security_Governance_BCP_Admin.docx,DOCX,Detailed Iteration 11 design source,"Audit, controls, compliance, security, governance, BCP and administration",1176 non-empty paragraphs; 155 headings; 41 tables,77242,806581a3e1c81050c91224fcf478228cff8c1a2f67b4e964a0b6883db56d9081,OPENED / PARSED
Iterations/Payroll_System_Iteration_12_Implementation_Migration_Parallel_Cutover_GoLive_Hypercare_Acceptance.docx,DOCX,Detailed Iteration 12 design source,"Implementation, migration, parallel, cutover, go-live, hypercare and acceptance",1016 non-empty paragraphs; 141 headings; 44 tables,80506,a31b9bef3119265dffbf6547962aa6aec5edc3ea86c0cdee17cab578b0f9feda,OPENED / PARSED
Iterations/Payroll_System_Iteration_1_Organisation_StatutoryUnits_Establishments_PayGroups_PayrollCalendars.docx,DOCX,Detailed Iteration 1 design source,"Organisation, statutory units, establishments, registrations, pay groups and payroll calendars",740 non-empty paragraphs; 121 headings; 15 tables,34299,e38818cc942a4c68b70663a1f98565fdbbeb7bd544f6f02aa6747d9def1921e0,OPENED / PARSED
Iterations/Payroll_System_Iteration_2_PayComponents_SalaryStructures_Eligibility_CTC_StatutoryClassifications.docx,DOCX,Detailed Iteration 2 design source,"Pay components, salary structures, eligibility, CTC and statutory classifications",960 non-empty paragraphs; 115 headings; 11 tables,37241,8d13676bd2298a5973f12a183104174d1d2960aaf8427892665cd1ab612e4a96,OPENED / PARSED
Iterations/Payroll_System_Iteration_3_EmployeePayrollProfile_PayrollOnboarding_SalaryAssignment_StatutoryMemberships_TaxProfile_CompensationChanges.docx,DOCX,Detailed Iteration 3 design source,"Employee payroll profile, onboarding, assignments, memberships, tax profile and compensation changes",1462 non-empty paragraphs; 171 headings; 8 tables,47259,9992406e953524fc5155f6f4dffa7e4f7ca1cfd908cb85d15db1ad0e063acd4c,OPENED / PARSED
Iterations/Payroll_System_Iteration_4_PayrollCalculation_FormulaEngine.docx,DOCX,Detailed Iteration 4 design source,Payroll calculation and formula engine,1559 non-empty paragraphs; 198 headings; 5 tables,47339,dc9c54f39843de0873a02133114ae403dfde0670159267081ca8d1a910c6bc61,OPENED / PARSED
Iterations/Payroll_System_Iteration_5_PayrollInputCollection_RegularPayrollOperations.docx,DOCX,Detailed Iteration 5 design source,Payroll input collection and regular payroll operations,1596 non-empty paragraphs; 191 headings; 9 tables,47759,ec03b704208a99280e47449f5bc106d3e284e5844f2c274be038d819f08ddc14,OPENED / PARSED
Iterations/Payroll_System_Iteration_6_IndiaStatutory_SalaryTaxRulePack.docx,DOCX,Detailed Iteration 6 design source,India statutory and salary-tax rule pack,1199 non-empty paragraphs; 122 headings; 5 tables,41055,82f285d0ddf269aa5f6b75792544f624a3e358c902f1ebbf673fa55e8ecc5865,OPENED / PARSED
Iterations/Payroll_System_Iteration_7_RetroactivePayroll_OffCycleProcessing_Corrections_Reversals_Recoveries_FinalSettlement.docx,DOCX,Detailed Iteration 7 design source,"Retroactive payroll, off-cycle processing, corrections, reversals, recoveries and final settlement",1858 non-empty paragraphs; 0 headings; 7 tables,75212,a591fbd9e601a93f77c7c091d5cb47f79e57633b10400e654b8a417ce3872611,OPENED / PARSED
Iterations/Payroll_System_Iteration_8_Salary_Payments_Banking_Treasury.docx,DOCX,Detailed Iteration 8 design source,"Salary payments, banking and treasury",669 non-empty paragraphs; 102 headings; 18 tables,72496,198673cc0dbe9874e5bdb70fbbf31d0ad2718bb0227e55df9ea4760ea0f30c18,OPENED / PARSED
Iterations/Payroll_System_Iteration_9_Payroll_Accounting_Costing_GL_ERP_Reconciliation.docx,DOCX,Detailed Iteration 9 design source,"Payroll accounting, costing, GL and ERP reconciliation",748 non-empty paragraphs; 119 headings; 14 tables,63175,e7c55c75b0f88b4125606bd6c7b748a06d8cb063748aa59db61dedd152741f7f,OPENED / PARSED
Payroll System Product Design - Product Charter.docx,DOCX,Original product intent,Working Charter for a complete payroll operating platform,486 non-empty paragraphs; 0 headings; 4 tables,35565,17f66d0a8dba0a4bb33413c918896e7f04323d4209647bac51774dec64dd7906,OPENED / PARSED
Payroll_System_API_Event_Catalogue_v1_0.csv,CSV,Canonical integration-design companion,45 APIs and 34 domain events,45 APIs; 34 events,7314,24c91440cd1dba4365c5a936fba311426ee735f8e2cee6079a8eae0864d42038,OPENED / PARSED
Payroll_System_Canonical_PostgreSQL_DDL_v1_0.sql,SQL,Canonical logical data-design companion,"11 schemas, 112 tables and 121 indexes",11 schemas; 112 tables; 121 indexes,176809,6017d8cb30877f62cee348a072eaff8c30277d10560ef1a87bdcba3b40b3f3f6,OPENED / PARSED
Payroll_System_Consolidated_Product_Blueprint_v1_0.docx,DOCX,Canonical consolidated product-design baseline,Master Specification for Iterations 1-12 and complete product scope,410 non-empty paragraphs; 79 headings; 23 tables,1134449,5b7278cd5cc78dcaa79bff60a133687574ea2f7504c16f1efbb44a20e13eb2ee,OPENED / PARSED
Payroll_System_Implementation_Backlog_v1_0.csv,CSV,Canonical original implementation backlog,18 epics and 72 source backlog rows across R1-R4,72 rows; 18 epics,13222,f591b41118007342d2faffae793230a977276660309eeea431b98683bc46fa7f,OPENED / PARSED
