Detailed Story ID,Epic,Capability,Story Type,Reconciled Evidence Status,UI Applicability,Required UI Surface,UI Delivery Status,Browser E2E Status,UI Evidence / Closure Note
PLN-E01-001,E01,Foundation,Business / Workflow,IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,COMPLETE,COMPLETE,src/features/organisation/SetupPage.tsx
PLN-E01-002,E01,Foundation,Business / Workflow,IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,COMPLETE,COMPLETE,src/features/organisation/SetupPage.tsx
PLN-E01-003,E01,Foundation,Business / Workflow,IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,COMPLETE,COMPLETE,src/features/organisation/SetupPage.tsx
PLN-E01-004,E01,Foundation,Business / Workflow,IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,COMPLETE,COMPLETE,src/features/organisation/SetupPage.tsx
PLN-E01-005,E01,Foundation,Business / Workflow,IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,COMPLETE,COMPLETE,src/features/organisation/SetupPage.tsx
PLN-E01-006,E01,Foundation,Business / Workflow,IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,COMPLETE,COMPLETE,src/features/statutory-registration/StatutoryRegistrationPage.tsx
PLN-E01-007,E01,Foundation,Business / Workflow,IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,COMPLETE,COMPLETE,src/features/statutory-registration/StatutoryRegistrationPage.tsx
PLN-E01-008,E01,Foundation,Business / Workflow,IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,COMPLETE,COMPLETE,src/features/foundation-banking-authority/FoundationBankingAuthorityPage.tsx
PLN-E01-009,E01,Foundation,Business / Workflow,IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,COMPLETE,COMPLETE,src/features/foundation-banking-authority/FoundationBankingAuthorityPage.tsx
PLN-E01-010,E01,Foundation,Business / Workflow,IMPLEMENTED,REQUIRED_OPERATIONAL_UI,React operational visibility / control surface,COMPLETE,COMPLETE,src/features/foundation-readiness/FoundationReadinessPage.tsx
PLN-E01-011,E01,Foundation,Business / Workflow,IMPLEMENTED,REQUIRED_ADMIN_OR_SECURITY_UI,React admin/security surface or explicitly governed external administration UI,COMPLETE,COMPLETE,src/features/foundation-approval-authority/**; UI PR #14 plus G05 closure confirmation on UI main 2a42f3909a2ee249ca26be8fb0e14e945f8903a9; approval authority/delegation browser E2E green.
PLN-E01-012,E01,Foundation,Business / Workflow,IMPLEMENTED,REQUIRED_OPERATIONAL_UI,React operational visibility / control surface,COMPLETE,COMPLETE,src/features/foundation-readiness/FoundationReadinessPage.tsx
PLN-E02-001,E02,Calendar & Pay Groups,Business / Workflow,IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,COMPLETE,COMPLETE,src/features/pay-group/PayGroupPage.tsx; G05 creates/approves/end-dates/versions a dedicated pay group and proves version cutover on UI main 2a42f3909a2ee249ca26be8fb0e14e945f8903a9.
PLN-E02-002,E02,Calendar & Pay Groups,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,PARTIAL,PARTIAL,"UI PR #15 / 2a42f3909a2ee249ca26be8fb0e14e945f8903a9: Explicit employee pay-group assignment cutover is browser-proven, but no population-routing-rule authoring/inspection surface exists; establishment/PSU rule administration remains an end-to-end gap."
PLN-E02-003,E02,Calendar & Pay Groups,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,PARTIAL,PARTIAL,"UI PR #15 / 2a42f3909a2ee249ca26be8fb0e14e945f8903a9: Calendar identity and version lineage are visible, but a governed successor cannot be driven end-to-end because publication prerequisites cannot be configured through the current backend contract."
