Detailed Story ID,Epic,Capability,Feature Group,Story Type,Source Control Row,Original Release,Proposed Wave,Priority,Baseline Evidence Status,Reconciled Evidence Status,Reconciliation Confidence,Reconciliation Basis,User Story,Acceptance Criteria Summary,Remaining Scope Context,Legal/Domain Revalidation,Dependency Epics
PLN-E01-001,E01,Foundation,Model the effective-dated payroll organisation hierarchy,Business / Workflow,E01-01,R1,P5,Must,PARTIALLY EVIDENCED,IMPLEMENTED,HIGH,P5-A1/PR #25: stable effective-dated organisation hierarchy identities and versions.,"As a Payroll Foundation Administrator, I need to model the effective-dated payroll organisation hierarchy, so that the payroll capability operates with controlled, reproducible and auditable outcomes.","Legal entity, payroll statutory unit and establishment identities are stable; version records are effective-dated; active ownership periods do not overlap. Source-derived checks: They must not determine the statutory employer unless an explicit effective-dated relationship exists. / Creation and approval of multiple legal entities. / Creation of multiple PSUs under one legal entity.","Enterprise group, work locations and jurisdiction resolution, generic statutory-registration framework and metadata, and the complete original foundation control scope are not evidenced.",NO SPECIAL FLAG BEYOND NORMAL DESIGN REVIEW,NONE
PLN-E01-002,E01,Foundation,Configure legal entities as payroll employers,Business / Workflow,E01-01,R1,P5,Must,PARTIALLY EVIDENCED,IMPLEMENTED,HIGH,"P5-A1/PR #25: legal-entity lifecycle, maker-checker, retirement and tenant controls.","As a Payroll Foundation Administrator, I need to configure legal entities as payroll employers, so that the payroll capability operates with controlled, reproducible and auditable outcomes.","A legal entity can be created, approved, activated and retired with immutable historical versions and tenant-safe uniqueness. Source-derived checks: Tenant data must be isolated using tenant_id. / Tenant closure must not delete payroll history. / Suspended tenants retain read-only audit access.","Enterprise group, work locations and jurisdiction resolution, generic statutory-registration framework and metadata, and the complete original foundation control scope are not evidenced.",NO SPECIAL FLAG BEYOND NORMAL DESIGN REVIEW,NONE
PLN-E01-003,E01,Foundation,Configure payroll statutory units and responsibility boundaries,Business / Workflow,E01-01,R1,P5,Must,PARTIALLY EVIDENCED,IMPLEMENTED,HIGH,P5-A1/PR #25: PSU responsibility boundaries and approved-parent/effective-range controls.,"As a Payroll Compliance Administrator, I need to configure payroll statutory units and responsibility boundaries, so that the payroll capability operates with controlled, reproducible and auditable outcomes.",Each PSU identifies the tax and statutory responsibility boundary and is linked to the correct legal entity for the effective period. Source-derived checks: Separate PSUs for divisions / Separate PSUs following mergers or acquisitions / Separate PSUs for different payroll operations,"Enterprise group, work locations and jurisdiction resolution, generic statutory-registration framework and metadata, and the complete original foundation control scope are not evidenced.",NO SPECIAL FLAG BEYOND NORMAL DESIGN REVIEW,NONE
PLN-E01-004,E01,Foundation,Configure establishments and operational registrations,Business / Workflow,E01-01,R1,P5,Must,PARTIALLY EVIDENCED,IMPLEMENTED,HIGH,"P5-A1/PR #25: establishment lifecycle, classification, hierarchy and retirement controls.","As a Payroll Compliance Administrator, I need to configure establishments and operational registrations, so that the payroll capability operates with controlled, reproducible and auditable outcomes.","Establishments are effective-dated, linked to the owning PSU/legal entity and retain operational identifiers without overlapping active versions. Source-derived checks: An establishment is a registered or operational unit relevant to labour-law compliance. / Construction establishment / An establishment is not necessarily the same as a legal entity or work location.","Enterprise group, work locations and jurisdiction resolution, generic statutory-registration framework and metadata, and the complete original foundation control scope are not evidenced.",NO SPECIAL FLAG BEYOND NORMAL DESIGN REVIEW,NONE
PLN-E01-005,E01,Foundation,Resolve work locations and payroll jurisdictions,Business / Workflow,E01-01,R1,P5,Must,NOT EVIDENCED,IMPLEMENTED,HIGH,"P5-JRF-01/PR #36: stable work-location identity/version, approved extensible jurisdiction hierarchy, deterministic approved override -> work location -> establishment fallback resolution, immutable resolution evidence, and explicit unresolved/conflict blocking.","As a Payroll Foundation Administrator, I need to resolve work locations and payroll jurisdictions, so that the payroll capability operates with controlled, reproducible and auditable outcomes.","Every payroll-relevant work location resolves country, state and local jurisdiction for the applicable date; unresolved or conflicting jurisdiction blocks readiness. Source-derived checks: The system must not rely solely on an employee’s residential address. / The result must be stored with:",No material P5-JRF-01 gap identified for this story. The complete cross-foundation readiness dashboard remains separately tracked under PLN-E01-012; residential address is not used as a payroll-jurisdiction fallback.,NO SPECIAL FLAG BEYOND NORMAL DESIGN REVIEW,NONE
PLN-E01-006,E01,Foundation,Maintain a generic statutory registration framework,Business / Workflow,E01-01,R1,P5,Must,NOT EVIDENCED,IMPLEMENTED,HIGH,"P5-JRF-01/PR #36: generic registration-type metadata, valid owner kinds, authority/jurisdiction metadata, exact parent-version lineage, versioned registration identity, JAVA_REGEX_V1 identifier metadata, tenant-safe uniqueness and effective-dated lifecycle.","As a Payroll Compliance Administrator, I need to maintain a generic statutory registration framework, so that the payroll capability operates with controlled, reproducible and auditable outcomes.","Registrations retain scheme, authority, jurisdiction, registration identifier, ownership, effective dates and status; duplicate active registrations are prevented. Source-derived checks: Instead of creating a separate table for each statutory registration, the system will maintain a common registration framework. / Each registration type must define: / Whether parent registration is required","Country-specific legal rule packs, rates, filing, returns and remittance remain separately scoped; those are not gaps in the generic statutory-registration framework.",NO SPECIAL FLAG BEYOND NORMAL DESIGN REVIEW,NONE
PLN-E01-007,E01,Foundation,Operate registration approval and renewal workflows,Business / Workflow,E01-01,R1,P5,Must,NOT EVIDENCED,IMPLEMENTED,HIGH,"P5-JRF-01/PR #36: draft -> verification -> approval-pending -> active lifecycle, independent final approver, authority rejection evidence, controlled suspension/expiry and renewal-successor history with bounded readiness exceptions.","As a Payroll Compliance Lead, I need to operate registration approval and renewal workflows, so that the payroll capability operates with controlled, reproducible and auditable outcomes.","Registration creation, verification, approval, expiry, renewal and suspension are auditable and produce readiness exceptions before legal deadlines. Source-derived checks: An active registration number cannot be overwritten. / The user who creates or changes the registration cannot provide final approval. / An authority rejection must retain the submission payload and rejection reason.","Country-specific filing deadlines, forms, remittance and legal-rule execution remain later scope; the generic registration approval/renewal lifecycle is implemented.",NO SPECIAL FLAG BEYOND NORMAL DESIGN REVIEW,NONE
PLN-E01-008,E01,Foundation,Configure employer bank accounts for payroll ownership,Business / Workflow,E01-01,R1,P5,Must,NOT EVIDENCED,IMPLEMENTED,HIGH,"P5-FBA-01 backend PR #44 / a0234d94ef280a41a744ea6e8483f786a497d211 and UI PR #12 / 5c45ab41ee3cb4466fac822c04c771f5de0ba119: versioned LE/PSU-owned bank accounts, currency/effective-date controls, AES-GCM/HMAC protection, masked routine reads, restricted audited reveal, independent verification/approval, default uniqueness and immutable history.","As a Treasury Administrator, I need to configure employer bank accounts for payroll ownership, so that the payroll capability operates with controlled, reproducible and auditable outcomes.","Employer bank accounts are versioned, verified, scoped to the correct legal entity/PSU/currency and cannot be used outside their effective dates. Source-derived checks: Full account number must never appear in normal UI or logs. / Only users with restricted permission can view unmasked details. / The default bank account cannot be deleted.","Payment-file generation, bank integration and payment execution remain later scope; they are not gaps in the employer bank-account foundation story.",NO SPECIAL FLAG BEYOND NORMAL DESIGN REVIEW,NONE
PLN-E01-009,E01,Foundation,Manage authorised signatories and delegated authority,Business / Workflow,E01-01,R1,P5,Must,NOT EVIDENCED,IMPLEMENTED,HIGH,"P5-FBA-01 backend PR #44 / a0234d94ef280a41a744ea6e8483f786a497d211 and UI PR #12 / 5c45ab41ee3cb4466fac822c04c771f5de0ba119: effective-dated signatory identity/version, purpose/currency/optional amount scopes, independent verification/final approval, expiry/suspension/limit rejection and explicit separation of legal authority from system access.","As a Payroll Governance Administrator, I need to manage authorised signatories and delegated authority, so that the payroll capability operates with controlled, reproducible and auditable outcomes.","Signatory authority is effective-dated, purpose-scoped, independently approved and blocked when expired or outside delegated limits. Source-derived checks: An authorised signatory must not automatically receive payroll-system access. Identity and legal authority are separate concepts.",Broader foundation approval-scope/delegation controls remain tracked under PLN-E01-011; they do not prevent completion of the authorised-signatory legal-authority story.,NO SPECIAL FLAG BEYOND NORMAL DESIGN REVIEW,NONE
PLN-E01-010,E01,Foundation,Create immutable configuration snapshots,Business / Workflow,E01-01,R1,P5,Must,PARTIALLY EVIDENCED,IMPLEMENTED,HIGH,"P5-FSR-01 G01 / backend PR #47 merge 16d2488252b8a5c3aecd64c0f43fe18b6743d6e8: V036 creates one immutable cycle foundation-configuration snapshot with deterministic payload/hash, exact approved version lineage, drift rejection and history-preserving V035 upgrade; input, calculation request and result lineage bind the exact snapshot identity/hash without mutable fallback.","As a Payroll Platform Administrator, I need to create immutable configuration snapshots, so that the payroll capability operates with controlled, reproducible and auditable outcomes.","Approved organisation configuration is snapshotted with content identity and can be reproduced for historical payroll without reading mutable current records. Source-derived checks: At payroll calculation time, the system must not repeatedly read mutable master tables. / A later change to the legal entity, registration or calendar must not alter an already calculated payroll. / Stores the immutable set of configuration versions used by payroll.","No material P5-FSR-01 gap remains for immutable foundation-configuration snapshot reproducibility. Employer bank/signatory state remains readiness evidence rather than calculation input; country-specific legal rules and later payment, retro, accounting, migration/cutover capabilities remain separately scoped.",NO SPECIAL FLAG BEYOND NORMAL DESIGN REVIEW,NONE
